0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:15:30 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:15:30 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:15:30 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:15:30 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:15:30 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:15:30 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:15:30 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:15:30 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:15:30 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:15:30 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:15:30 +0530] "GET /PizzaWale/static/home/home.view.html HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:15:30 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:16:36 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4609
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:16:36 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:16:36 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:16:36 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:16:36 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:16:36 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:16:36 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:16:36 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:16:36 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
