0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:43 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:43 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:43 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:43 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:43 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:43 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:43 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:43 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:43 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 200 98762
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:43 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 200 1174119
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:43 +0530] "GET /PizzaWale/static/editorder/editorder.view.html HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:44 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4972
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/images/logo.png HTTP/1.1" 200 66003
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 200 1934
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 200 1174119
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/home/home.view.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:57 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 200 98762
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:58 +0530] "GET /PizzaWale/static/login/login.view.html HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:50:58 +0530] "GET /PizzaWale/static/css/login.css HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:00 +0530] "POST /PizzaWale/user/login HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:00 +0530] "GET /PizzaWale/static/order/order.view.html HTTP/1.1" 200 5834
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:00 +0530] "GET /PizzaWale/static/images/pizza/nonveg/Chicken_Fiesta.jpg HTTP/1.1" 200 28939
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:00 +0530] "GET /PizzaWale/static/images/pizza/veg/Farmhouse.jpg HTTP/1.1" 200 150828
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:01 +0530] "GET /PizzaWale/static/images/pizza/veg/Margherita.jpg HTTP/1.1" 200 135599
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:01 +0530] "GET /PizzaWale/static/images/pizza/veg/Peppy_Paneer.jpg HTTP/1.1" 200 151127
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:01 +0530] "GET /PizzaWale/static/images/pizza/nonveg/Chicken_Golden_Delight.jpg HTTP/1.1" 200 152107
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:01 +0530] "GET /PizzaWale/static/images/pizza/nonveg/Non_Veg_Supreme.jpg HTTP/1.1" 200 150867
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:05 +0530] "POST /PizzaWale/order HTTP/1.1" 201 508
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:06 +0530] "GET /PizzaWale/static/editorder/editorder.view.html HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4972
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/images/logo.png HTTP/1.1" 200 66003
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 200 1934
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 200 98762
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 200 1174119
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/editorder/editorder.view.html HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:41 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:42 +0530] "GET /PizzaWale/static/login/login.view.html HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:42 +0530] "GET /PizzaWale/static/css/login.css HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:44 +0530] "POST /PizzaWale/user/login HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:45 +0530] "GET /PizzaWale/static/order/order.view.html HTTP/1.1" 200 5834
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:45 +0530] "GET /PizzaWale/static/images/pizza/nonveg/Chicken_Fiesta.jpg HTTP/1.1" 200 28939
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:45 +0530] "GET /PizzaWale/static/images/pizza/veg/Peppy_Paneer.jpg HTTP/1.1" 200 151127
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:45 +0530] "GET /PizzaWale/static/images/pizza/veg/Farmhouse.jpg HTTP/1.1" 200 150828
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:45 +0530] "GET /PizzaWale/static/images/pizza/veg/Margherita.jpg HTTP/1.1" 200 135599
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:45 +0530] "GET /PizzaWale/static/images/pizza/nonveg/Non_Veg_Supreme.jpg HTTP/1.1" 200 150867
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:45 +0530] "GET /PizzaWale/static/images/pizza/nonveg/Chicken_Golden_Delight.jpg HTTP/1.1" 200 152107
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:49 +0530] "POST /PizzaWale/order HTTP/1.1" 201 273
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4972
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/images/logo.png HTTP/1.1" 200 66003
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 200 1934
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 200 1174119
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 200 98762
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/editorder/editorder.view.html HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:51:53 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4972
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/images/logo.png HTTP/1.1" 200 66003
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 200 1934
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 200 1174119
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/editorder/editorder.view.html HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 200 98762
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:38 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:43 +0530] "GET /PizzaWale/static/login/login.view.html HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:43 +0530] "GET /PizzaWale/static/css/login.css HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:48 +0530] "POST /PizzaWale/user/login HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:49 +0530] "GET /PizzaWale/static/order/order.view.html HTTP/1.1" 200 5834
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:49 +0530] "GET /PizzaWale/static/images/pizza/nonveg/Chicken_Fiesta.jpg HTTP/1.1" 200 28939
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:49 +0530] "GET /PizzaWale/static/images/pizza/veg/Margherita.jpg HTTP/1.1" 200 135599
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:49 +0530] "GET /PizzaWale/static/images/pizza/nonveg/Chicken_Golden_Delight.jpg HTTP/1.1" 200 152107
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:49 +0530] "GET /PizzaWale/static/images/pizza/veg/Peppy_Paneer.jpg HTTP/1.1" 200 151127
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:49 +0530] "GET /PizzaWale/static/images/pizza/veg/Farmhouse.jpg HTTP/1.1" 200 150828
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:49 +0530] "GET /PizzaWale/static/images/pizza/nonveg/Non_Veg_Supreme.jpg HTTP/1.1" 200 150867
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:52 +0530] "POST /PizzaWale/order HTTP/1.1" 201 259
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:57 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4972
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:57 +0530] "GET /PizzaWale/static/images/logo.png HTTP/1.1" 200 66003
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:57 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:57 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:58 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:58 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 200 1934
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:58 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:58 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:58 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:58 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:58 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:58 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:58 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:58 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:58 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:58 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 200 1174119
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:58 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 200 98762
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:58 +0530] "GET /PizzaWale/static/editorder/editorder.view.html HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:00:58 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:06:25 +0530] "GET /PizzaWale/static/home/home.view.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:06:30 +0530] "GET /PizzaWale/static/login/login.view.html HTTP/1.1" 200 3016
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:06:30 +0530] "GET /PizzaWale/static/css/login.css HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:08:24 +0530] "POST /PizzaWale/user/login HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:08:25 +0530] "GET /PizzaWale/static/order/order.view.html HTTP/1.1" 200 5834
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:08:25 +0530] "GET /PizzaWale/static/images/pizza/veg/Margherita.jpg HTTP/1.1" 200 135599
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:08:25 +0530] "GET /PizzaWale/static/images/pizza/veg/Peppy_Paneer.jpg HTTP/1.1" 200 151127
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:08:25 +0530] "GET /PizzaWale/static/images/pizza/veg/Farmhouse.jpg HTTP/1.1" 200 150828
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:08:25 +0530] "GET /PizzaWale/static/images/pizza/nonveg/Chicken_Fiesta.jpg HTTP/1.1" 200 28939
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:08:25 +0530] "GET /PizzaWale/static/images/pizza/nonveg/Chicken_Golden_Delight.jpg HTTP/1.1" 200 152107
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:08:25 +0530] "GET /PizzaWale/static/images/pizza/nonveg/Non_Veg_Supreme.jpg HTTP/1.1" 200 150867
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:08:35 +0530] "POST /PizzaWale/order HTTP/1.1" 201 760
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4972
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/images/logo.png HTTP/1.1" 200 66003
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 200 1934
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 200 1174119
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/editorder/editorder.view.html HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 200 98762
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:11:54 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:12:51 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4972
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:12:51 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:12:51 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:12:51 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:12:51 +0530] "GET /PizzaWale/static/images/logo.png HTTP/1.1" 200 66003
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:12:51 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 200 1934
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:12:51 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:12:51 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:12:51 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:12:51 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:12:51 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:12:51 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:12:51 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [19/Aug/2019:10:12:51 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 200 1149
